make,model,trim,year,msrp,selling_price,term,credit_tier,tier_range,credit_score,band,residual_pct,residual_dollar,money_factor,apr,monthly_payment,base_monthly,tax_pct,due_at_signing,cap_cost,mileage_adj,incentive_total,incentives,acquisition_fee,registration_fee,lender,lender_code,deal_id,region,zip_code,effective_month,source_url
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,36,Progressive,601-639,620,620-639,66.0,16866.3,0.00303,7.272,309.80,280.36,10.5,1505.23,22648.94,766.65,250,HMF Special Lease $250,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,36,Fair,0-600,600,580-619,66.0,16866.3,0.00347,8.328,329.01,297.75,10.5,1524.44,22648.94,766.65,250,HMF Special Lease $250,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Super Elite,740+,750,740-1000,60.0,15333,0.00225,5.4,286.31,259.1,10.5,1534.24,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Elite,700-739,720,720-739,60.0,15333,0.00225,5.4,286.31,259.1,10.5,1534.24,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Standard,675-699,690,680-699,60.0,15333,0.0026,6.24,300.80,272.22,10.5,1548.73,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Standard Plus,640-674,660,660-679,60.0,15333,0.00277,6.648,307.84,278.59,10.5,1555.77,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Progressive,601-639,620,620-639,60.0,15333,0.00296,7.104,315.72,285.72,10.5,1563.65,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,39,Fair,0-600,600,580-619,60.0,15333,0.00347,8.328,336.84,304.83,10.5,1584.77,22148.94,766.65,750,HMF Special Lease $750,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,42,Super Elite,740+,750,740-1000,49.0,12521.95,0.00282,6.768,324.54,293.7,10.5,1703.72,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,42,Elite,700-739,720,720-739,49.0,12521.95,0.0031,7.44,334.87,303.05,10.5,1714.05,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,42,Standard,675-699,690,680-699,49.0,12521.95,0.00369,8.856,356.66,322.77,10.5,1735.84,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,42,Standard Plus,640-674,660,660-679,49.0,12521.95,0.0042,10.08,375.50,339.82,10.5,1754.68,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,42,Progressive,601-639,620,620-639,49.0,12521.95,0.0048,11.52,397.66,359.87,10.5,1776.84,20898.94,766.65,2000,"HMA Retail Bonus Cash $2,000",650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,48,Super Elite,740+,750,740-1000,57.0,14566.35,0.00257,6.168,298.23,269.89,10.5,1467.41,22898.94,766.65,0,,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,48,Elite,700-739,720,720-739,57.0,14566.35,0.00257,6.168,298.23,269.89,10.5,1467.41,22898.94,766.65,0,,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,48,Standard,675-699,690,680-699,57.0,14566.35,0.00301,7.224,316.44,286.37,10.5,1485.62,22898.94,766.65,0,,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,48,Standard Plus,640-674,660,660-679,57.0,14566.35,0.00321,7.704,324.72,293.86,10.5,1493.9,22898.94,766.65,0,,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport IVT,2026,25555,22898.94,48,Progressive,601-639,620,620-639,57.0,14566.35,0.00349,8.376,336.31,304.35,10.5,1505.49,22898.94,766.65,0,,650,357,Hyundai Motor Finance,HMF,576966,"Los Angeles, CA",90810,2026-06,https://autobandit.com/deals/576966
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,24,Super Elite,740+,750,740-1000,66.0,17813.4,0.00282,6.768,404.10,365.7,10.5,1867.28,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,24,Elite,700-739,720,720-739,71.0,19162.9,0.00203,4.872,405.25,366.74,10.5,1658.43,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,24,Standard,675-699,690,680-699,71.0,19162.9,0.00233,5.592,420.15,380.23,10.5,1673.33,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,24,Standard Plus,640-674,660,660-679,71.0,19162.9,0.00251,6.024,429.09,388.32,10.5,1682.27,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,30,Super Elite,740+,750,740-1000,60.0,16194,0.00282,6.768,403.80,365.43,10.5,1866.98,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,30,Elite,700-739,720,720-739,60.0,16194,0.00303,7.272,413.08,373.83,10.5,1876.26,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,30,Standard,675-699,690,680-699,60.0,16194,0.00357,8.568,436.93,395.41,10.5,1900.11,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,30,Standard Plus,640-674,660,660-679,60.0,16194,0.00406,9.744,458.58,415.0,10.5,1921.76,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,30,Progressive,601-639,620,620-639,60.0,16194,0.00475,11.4,489.04,442.57,10.5,1952.22,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
